,Crops,WQ
0,1366.1135098999987,0.3000000000000005
1,1325.3521415999983,0.3000000000000005
2,1267.6651554999985,0.3000000000000005
3,839.9327079000002,0.3077500000000001
4,467.27806489999995,0.34320000000000017
5,467.67342430000014,0.38116000000000017
6,1081.5985330000008,0.39999999999999925
7,842.8711711000002,0.40526999999999935
8,630.3574275999998,0.43844000000000044
9,569.6305924000001,0.4820800000000007
10,1130.4793087,0.49996
11,898.3494409000003,0.5
12,817.6281377000005,0.50491
13,797.3307795000002,0.5395899999999999
14,722.4740155999996,0.5856299999999997
15,1056.4317826000008,0.6041200000000004
16,664.8140256999999,0.6490599999999996
17,987.0900635999994,0.6955500000000017
18,895.4738307000003,0.71601
19,651.1591963000001,0.773520000000001
20,916.8126615000006,0.8090399999999995
21,775.1821517000003,0.8627900000000003
22,1048.399503300001,0.898980000000001
23,1114.3121355999997,0.9000000000000008
24,776.3876598000003,0.91652
25,500.7003753999996,0.9687399999999999
26,366.49739370000003,0.9890100000000009
27,270.98323059999984,0.9940900000000014
28,239.74858569999992,0.9959399999999988
29,337.8918975000002,0.9959999999999988
30,259.22373279999994,0.9959999999999988
31,193.62293539999996,0.9959999999999988
32,235.73958760000008,0.9959999999999988
33,337.3964107,0.9959999999999988
34,224.58840149999997,0.9959999999999988
35,1115.929888599999,0.99898
36,704.3405516999999,1.0261000000000018
37,848.5479992999997,1.0864999999999982
38,786.8316311000002,1.1234000000000006
39,793.8470736000002,1.1851000000000007
40,703.4020792,1.2283
41,735.0046789999996,1.2898999999999987
42,566.1375425,1.3495000000000001
43,738.0777915000002,1.4114999999999995
44,751.4181713999999,1.4788999999999997
45,703.0533804999999,1.5361000000000014
46,786.6440759000001,1.5927999999999998
47,567.1077904,1.6596000000000006
48,775.7502627999995,1.7095999999999987
49,753.9782829999998,1.7867000000000013
50,708.9851563999998,1.8643999999999996
51,705.5176193999998,1.9341000000000017
52,900.2827608000002,1.9972999999999994
53,710.4285200999996,2.067899999999999
54,724.2612632999999,2.141999999999999
55,832.6859392000001,2.22325
56,739.0257952999999,2.3105
57,688.2018831000001,2.396999999999999
58,769.3842587000003,2.495309999999999
59,741.0422421,2.5844
60,717.5624002999997,2.665999999999998
61,748.6203302999999,2.7568000000000006
62,682.775119,2.8598999999999988
63,794.3342038999997,2.9569000000000005
64,752.7671060999998,3.036399999999998
65,800.0896618000003,3.122399999999999
66,748.2098779,3.217200000000001
67,770.0356852000001,3.2985000000000015
68,808.3243571000002,3.3738999999999977
69,610.8478340999999,3.4597000000000007
70,781.0143409999998,3.5433999999999966
71,843.8350927000004,3.644499999999999
72,686.1304874000001,3.7419
73,718.6272991999999,3.8394999999999997
74,744.1673731999997,3.932
75,846.7144101000002,4.017500000000001
76,799.7836241999997,4.103299999999997
77,698.3892539999999,4.191600000000003
78,744.5025285,4.2864
79,799.0092127,4.391200000000001
80,848.541692,4.468800000000003
81,792.1797475000005,4.554899999999997
82,824.9974239000003,4.639400000000001
83,826.2147267000001,4.719300000000005
84,860.1066103999997,4.802199999999998
85,795.9937981000002,4.8763999999999985
86,865.4811653000007,4.9677000000000024
87,1008.1852139000003,5.073400000000005
88,790.1430881000003,5.166299999999996
89,816.5997758000001,5.254399999999996
90,963.0324491000006,5.352099999999998
91,965.2169072000003,5.4385
92,989.9675651000003,5.516799999999996
93,910.7207098,5.594100000000003
94,984.6302198999997,5.681199999999997
95,996.0781248000001,5.777900000000006
96,1078.6369854999998,5.863899999999996
97,1009.2789912999999,5.952500000000003
98,1008.2852709999997,6.040500000000006
99,933.2350750000004,6.140400000000008
100,977.5638288999997,6.243699999999991
101,973.0311660000001,6.3316
102,1021.6661257,6.428700000000005
103,977.2075408000002,6.535300000000004
104,926.4491619999998,6.627299999999988
105,1009.5080310999998,6.724699999999998
106,1000.9149471000002,6.821100000000002
107,894.5702861999998,6.918200000000017
108,930.1796576999998,6.999199999999991
109,1011.6353906,7.091600000000002
110,940.4728150000007,7.192000000000003
111,985.0448763,7.289200000000009
112,983.8073092999999,7.387799999999996
113,1072.0095605000006,7.494499999999993
114,1048.5180772000003,7.594600000000001
115,1064.3711731999997,7.702400000000001
116,1081.2918180000004,7.8025000000000135
117,1099.2287841999998,7.922600000000012
118,1078.2822230999998,8.038200000000003
119,1154.9352154,8.150300000000001
120,1145.217364,8.257999999999983
121,1132.5736396,8.384999999999987
122,1202.0092092999998,8.488399999999999
123,1132.7128145,8.6045
124,1111.3512616999997,8.716
125,1174.7797706999997,8.825500000000007
126,1163.800171,8.925700000000013
127,1094.1633133999997,9.0334
128,1267.0343831,9.140699999999997
129,1112.8501068999994,9.240999999999998
130,1128.7531989,9.346599999999997
131,1162.4464634000003,9.460700000000001
132,1220.0628720999998,9.55300000000001
133,1195.5111318,9.649999999999999
134,1202.6589675000005,9.76759999999999
135,1153.7572524000007,9.890499999999985
136,1135.8776922,9.996100000000006
137,1281.9486331000007,10.125000000000021
138,1210.8423169000002,10.261999999999977
139,1234.1592535,10.386999999999984
140,1170.5135733000002,10.513000000000002
141,1253.2595197000003,10.636000000000024
142,1241.8643105999997,10.74299999999998
143,1359.0860859,10.867999999999993
144,1285.7361214000002,10.984000000000002
145,1174.6661247000002,11.104000000000019
146,1245.855108400001,11.241999999999985
147,1184.0515474,11.372999999999996
148,1253.1888886999998,11.505999999999993
149,1149.4031278000002,11.640000000000025
150,1240.8063351000003,11.762999999999971
151,1204.637025862069,11.891954022988491
